class_name,disease_family,image_count,avg_width,avg_height,avg_filesize_kb,avg_brightness,avg_contrast,avg_blur
apple_leaf,healthy,91,1108.7,1089.0,370.85,177.95,58.09,1076.65
apple_rust_leaf,fungal,89,1129.3,929.9,507.42,119.74,47.89,587.65
apple_scab_leaf,fungal,87,767.6,645.4,154.46,125.52,49.50,718.45
blueberry_leaf,healthy,116,1276.5,1058.4,512.05,139.69,51.15,543.37
cherry_leaf,healthy,57,1423.5,1356.2,555.74,137.22,51.76,372.01
corn_gray_leaf_spot,fungal,68,745.1,579.1,236.02,124.15,47.08,992.48
corn_leaf_blight,fungal,192,883.1,832.6,341.80,113.69,50.23,743.31
corn_rust_leaf,fungal,116,1018.0,872.1,394.88,122.12,47.32,724.54
grape_leaf,healthy,69,1654.3,1392.7,717.01,155.46,52.53,751.67
grape_leaf_black_rot,fungal,64,1046.9,836.4,400.68,125.40,49.31,815.48
peach_leaf,healthy,112,1230.4,1186.6,344.83,172.06,55.77,671.88
pepper_bell_bacterial_spot,bacterial,200,256.0,256.0,17.57,117.63,50.20,5079.05
pepper_bell_healthy,healthy,200,256.0,256.0,15.71,127.76,45.36,3764.81
potato_early_blight,fungal,200,256.0,256.0,19.63,136.21,48.45,7195.02
potato_healthy,healthy,200,256.0,256.0,19.62,128.37,41.17,7148.36
potato_late_blight,fungal,200,256.0,256.0,16.15,117.64,39.08,3921.46
raspberry_leaf,healthy,116,1246.7,1061.3,317.30,143.48,52.41,503.11
rice_bacterial_leaf_blight,bacterial,200,399.7,471.7,221.91,108.25,41.39,491.90
rice_brown_spot,fungal,200,469.1,555.1,215.37,117.69,41.28,284.16
rice_healthy,healthy,200,691.8,874.4,552.15,118.27,40.75,395.39
rice_leaf_blast,fungal,200,397.9,449.9,185.57,113.90,42.66,434.06
rice_leaf_scald,bacterial,200,348.0,394.0,108.54,108.26,43.42,344.34
rice_sheath_blight,fungal,200,693.7,843.3,503.62,107.49,44.05,387.71
soyabean_leaf,healthy,65,1421.0,1147.7,559.78,151.53,54.46,649.41
squash_powdery_mildew_leaf,fungal,129,1149.1,914.1,478.97,120.86,49.64,1056.10
strawberry_leaf,healthy,96,1356.4,1109.2,573.17,162.96,57.05,990.96
tomato_bacterial_spot,bacterial,200,256.0,256.0,12.41,104.85,33.29,984.24
tomato_early_blight,fungal,200,256.0,256.0,15.07,110.94,46.55,3219.45
tomato_healthy,healthy,200,256.0,256.0,21.84,116.61,38.56,12362.66
tomato_late_blight,fungal,200,256.0,256.0,13.25,112.61,39.49,2534.34
tomato_leaf_mold,fungal,200,256.0,256.0,15.57,116.97,37.12,3277.70
tomato_mosaic_virus,viral,200,256.0,256.0,18.60,116.24,34.94,6249.03
tomato_septoria_leaf_spot,fungal,200,256.0,256.0,17.01,132.28,37.37,4705.58
tomato_spider_mites_two_spotted_spider_mite,abiotic,200,256.0,256.0,19.44,118.86,44.81,6860.79
tomato_target_spot,fungal,200,256.0,256.0,19.79,118.66,44.85,7208.68
tomato_yellow_leaf_curl_virus,viral,200,256.0,256.0,12.78,113.75,35.07,1890.35
