class_name,disease_family,count,percentage
apple_leaf,healthy,91,1.61
apple_rust_leaf,fungal,89,1.57
apple_scab_leaf,fungal,87,1.54
blueberry_leaf,healthy,116,2.05
cherry_leaf,healthy,57,1.01
corn_gray_leaf_spot,fungal,68,1.20
corn_leaf_blight,fungal,192,3.39
corn_rust_leaf,fungal,116,2.05
grape_leaf,healthy,69,1.22
grape_leaf_black_rot,fungal,64,1.13
peach_leaf,healthy,112,1.98
pepper_bell_bacterial_spot,bacterial,200,3.53
pepper_bell_healthy,healthy,200,3.53
potato_early_blight,fungal,200,3.53
potato_healthy,healthy,200,3.53
potato_late_blight,fungal,200,3.53
raspberry_leaf,healthy,116,2.05
rice_bacterial_leaf_blight,bacterial,200,3.53
rice_brown_spot,fungal,200,3.53
rice_healthy,healthy,200,3.53
rice_leaf_blast,fungal,200,3.53
rice_leaf_scald,bacterial,200,3.53
rice_sheath_blight,fungal,200,3.53
soyabean_leaf,healthy,65,1.15
squash_powdery_mildew_leaf,fungal,129,2.28
strawberry_leaf,healthy,96,1.69
tomato_bacterial_spot,bacterial,200,3.53
tomato_early_blight,fungal,200,3.53
tomato_healthy,healthy,200,3.53
tomato_late_blight,fungal,200,3.53
tomato_leaf_mold,fungal,200,3.53
tomato_mosaic_virus,viral,200,3.53
tomato_septoria_leaf_spot,fungal,200,3.53
tomato_spider_mites_two_spotted_spider_mite,abiotic,200,3.53
tomato_target_spot,fungal,200,3.53
tomato_yellow_leaf_curl_virus,viral,200,3.53
